state,day 0,population,official cases,current doubling,extrapolated cases,extrapolated + possible asymptomatic cases,percent infected
Alabama,13-Mar,4903185,13563,22,27126,33907.5,0.6915402947267949
Alaska,13-Mar,710249,404,46,808,1010.0,0.1422036497059482
Arizona,4-Mar,7278717,15608,21,31216,39020.0,0.5360834883400467
Arkansas,12-Mar,3017804,5612,26,11224,14030.0,0.4649075950591887
California,26-Jan,39512223,88444,23,176888,221110.0,0.5595989878878745
Colorado,6-Mar,5758736,23191,28,46382,57977.5,1.006774750570264
Connecticut,8-Mar,3565287,39640,31,79280,99100.0,2.779579876739236
Delaware,11-Mar,973764,8529,25,17058,21322.5,2.1896989414272863
District of Columbia,8-Mar,705749,7893,23,15786,19732.5,2.7959657045210125
Florida,1-Mar,21477737,49451,33,98902,123627.5,0.5756076629488479
Georgia,2-Mar,10617423,41218,29,82436,103045.0,0.9705274057556151
Guam,15-Mar,162742,165,49,330,412.5,0.2534686804881346
Hawaii,6-Mar,1415872,647,48,1294,1617.5,0.11424055281833385
Idaho,14-Mar,1787065,2534,43,5068,6335.0,0.35449186235531444
Illinois,24-Jan,12671821,105444,22,210888,263610.0,2.0802850671580666
Indiana,6-Mar,6732219,30409,25,60818,76022.5,1.1292339123251933
Iowa,9-Mar,3155070,16504,20,33008,41260.0,1.3077364369094822
Kansas,8-Mar,2913314,8958,21,17916,22395.0,0.7687121951152536
Kentucky,7-Mar,4467673,8286,24,16572,20715.0,0.4636641938655761
Louisiana,9-Mar,4648794,36925,42,73850,92312.5,1.9857300624635121
Maine,12-Mar,1344212,1948,25,3896,4870.0,0.3622940429039467
Maryland,6-Mar,6045680,44424,22,88848,111060.0,1.8370141985682338
Massachusetts,1-Feb,6939373,90889,30,181778,227222.5,3.2743952515594708
Michigan,11-Mar,9996000,53913,37,107826,134782.5,1.3483643457382952
Minnesota,7-Mar,5639632,19005,15,38010,47512.5,0.8424751827778834
Mississippi,12-Mar,2976149,12624,23,25248,31560.0,1.0604307781633244
Missouri,8-Mar,6137428,11558,31,23116,28895.0,0.47079982038078494
Montana,12-Mar,1068778,479,49,958,1197.5,0.11204384820795338
Nebraska,7-Mar,1934408,11425,18,22850,28562.5,1.4765499315552872
Nevada,5-Mar,3080156,7401,32,14802,18502.5,0.6007000944108025
New Hampshire,2-Mar,1359711,3935,22,7870,9837.5,0.7234993318433108
New Jersey,4-Mar,8882190,152719,35,305438,381797.5,4.298461302899398
New Mexico,11-Mar,2096829,6472,22,12944,16180.0,0.7716413689432948
New York,1-Mar,19453561,358154,41,716308,895385.0,4.60267917015296
North Carolina,3-Mar,10488084,21618,21,43236,54045.0,0.5152990765520185
North Dakota,12-Mar,762062,2317,19,4634,5792.5,0.7601087575551596
Northern Mariana Islands,28-Mar,57476,22,39,44,55.0,0.09569211496972649
Ohio,9-Mar,11689100,30794,24,61588,76985.0,0.6586050251944119
Oklahoma,7-Mar,3956971,5849,29,11698,14622.5,0.3695377095257964
Oregon,28-Feb,4217737,3864,31,7728,9660.0,0.2290327727878718
Pennsylvania,6-Mar,12801989,66258,31,132516,165645.0,1.2939005024922299
Puerto Rico,13-Mar,3193694,3030,21,6060,7575.0,0.23718615496663112
Rhode Island,7-Mar,1059361,13736,27,27472,34340.0,3.2415767618403923
South Carolina,7-Mar,5148714,9638,28,19276,24095.0,0.4679809365989255
South Dakota,11-Mar,884659,4356,25,8712,10890.0,1.2309827854574475
Tennessee,5-Mar,6833793,19394,24,38788,48485.0,0.7094888592616135
Texas,4-Mar,28995881,52268,23,104536,130670.0,0.4506502147667112
US Virgin Islands,13-Mar,107268,69,50,138,172.5,0.1608121713838237
Utah,7-Mar,3205958,8057,25,16114,20142.5,0.6282833399564186
Vermont,8-Mar,623989,952,48,1904,2380.0,0.38141698010702113
Virginia,8-Mar,8535519,34950,20,69900,87375.0,1.0236635874163011
Washington,27-Feb,7614893,19117,43,38234,47792.5,0.6276187991085364
West Virginia,17-Mar,1792147,1616,34,3232,4040.0,0.2254279364360178
Wisconsin,5-Feb,5822434,14396,21,28792,35990.0,0.6181263712048948
Wyoming,12-Mar,578759,803,24,1606,2007.5,0.34686285656032995
